recclass,year,year_period_start,year_period_mid,year_period,achondrite_type
Diogenite,2006,2000,2007.5,2000,Diogenite
Acapulcoite,2006,2000,2007.5,2000,Acapulcoite
Lunar,2007,2000,2007.5,2000,Lunar
Lunar (anorth),2000,2000,2007.5,2000,Lunar
Eucrite-mmict,2007,2000,2007.5,2000,Eucrite
Eucrite-pmict,2006,2000,2007.5,2000,Eucrite
Howardite,2006,2000,2007.5,2000,Howardite
Ureilite,2007,2000,2007.5,2000,Ureilite
Eucrite-mmict,2006,2000,2007.5,2000,Eucrite
Eucrite-mmict,2006,2000,2007.5,2000,Eucrite
Aubrite,2006,2000,2007.5,2000,Aubrite
Lodranite,2007,2000,2007.5,2000,Lodranite
Eucrite,2006,2000,2007.5,2000,Eucrite
Ureilite,2002,2000,2007.5,2000,Ureilite
Howardite,2004,2000,2007.5,2000,Howardite
Martian (shergottite),2007,2000,2007.5,2000,Martian
Howardite,2006,2000,2007.5,2000,Howardite
Aubrite,2006,2000,2007.5,2000,Aubrite
Brachinite,2007,2000,2007.5,2000,Brachinite
Brachinite,2007,2000,2007.5,2000,Brachinite
Lodranite,2007,2000,2007.5,2000,Lodranite
Brachinite,2007,2000,2007.5,2000,Brachinite
Angrite,2007,2000,2007.5,2000,Angrite
Martian (shergottite),2007,2000,2007.5,2000,Martian
Martian (shergottite),2007,2000,2007.5,2000,Martian
Lunar,2005,2000,2007.5,2000,Lunar
Brachinite,2007,2000,2007.5,2000,Brachinite
Eucrite-pmict,2007,2000,2007.5,2000,Eucrite
Lunar,2007,2000,2007.5,2000,Lunar
Lunar,2007,2000,2007.5,2000,Lunar
Ureilite,2000,2000,2007.5,2000,Ureilite
Martian (shergottite),2007,2000,2007.5,2000,Martian
Ureilite,2006,2000,2007.5,2000,Ureilite
Martian (shergottite),2007,2000,2007.5,2000,Martian
Angrite,2007,2000,2007.5,2000,Angrite
Lunar,2007,2000,2007.5,2000,Lunar
Lodranite,2007,2000,2007.5,2000,Lodranite
Howardite,2007,2000,2007.5,2000,Howardite
Eucrite,2007,2000,2007.5,2000,Eucrite
Lunar,2007,2000,2007.5,2000,Lunar
Winonaite,2007,2000,2007.5,2000,Winonaite
Diogenite,2007,2000,2007.5,2000,Diogenite
Eucrite,2007,2000,2007.5,2000,Eucrite
Brachinite,2007,2000,2007.5,2000,Brachinite
Lunar,2007,2000,2007.5,2000,Lunar
Martian (shergottite),2003,2000,2007.5,2000,Martian
Ureilite,2007,2000,2007.5,2000,Ureilite
Eucrite,2007,2000,2007.5,2000,Eucrite
Eucrite,2004,2000,2007.5,2000,Eucrite
Lunar,2007,2000,2007.5,2000,Lunar
Lunar,2007,2000,2007.5,2000,Lunar
Lunar,2007,2000,2007.5,2000,Lunar
Winonaite,2000,2000,2007.5,2000,Winonaite
Angrite,2007,2000,2007.5,2000,Angrite
Brachinite,2006,2000,2007.5,2000,Brachinite
Howardite,2006,2000,2007.5,2000,Howardite
Ureilite,2007,2000,2007.5,2000,Ureilite
Eucrite,2006,2000,2007.5,2000,Eucrite
Lunar,2007,2000,2007.5,2000,Lunar
Howardite,2007,2000,2007.5,2000,Howardite
Ureilite,2007,2000,2007.5,2000,Ureilite
Lodranite,2007,2000,2007.5,2000,Lodranite
Martian (shergottite),2007,2000,2007.5,2000,Martian
Eucrite,2007,2000,2007.5,2000,Eucrite
Aubrite,2007,2000,2007.5,2000,Aubrite
Eucrite,2007,2000,2007.5,2000,Eucrite
Martian (shergottite),2007,2000,2007.5,2000,Martian
Howardite,2007,2000,2007.5,2000,Howardite
Eucrite,2007,2000,2007.5,2000,Eucrite
Eucrite-pmict,2007,2000,2007.5,2000,Eucrite
Eucrite-an,2008,2000,2007.5,2000,Eucrite
Eucrite,2008,2000,2007.5,2000,Eucrite
Eucrite-mmict,2008,2000,2007.5,2000,Eucrite
Eucrite,2008,2000,2007.5,2000,Eucrite
Martian (shergottite),2008,2000,2007.5,2000,Martian
Howardite,2008,2000,2007.5,2000,Howardite
Diogenite,2007,2000,2007.5,2000,Diogenite
Martian (shergottite),2008,2000,2007.5,2000,Martian
Diogenite,2008,2000,2007.5,2000,Diogenite
Diogenite,2007,2000,2007.5,2000,Diogenite
Eucrite-pmict,2008,2000,2007.5,2000,Eucrite
Howardite,2008,2000,2007.5,2000,Howardite
Eucrite-mmict,2007,2000,2007.5,2000,Eucrite
Eucrite,2008,2000,2007.5,2000,Eucrite
Lodranite,2008,2000,2007.5,2000,Lodranite
Eucrite,2008,2000,2007.5,2000,Eucrite
Diogenite,2008,2000,2007.5,2000,Diogenite
Lunar,2008,2000,2007.5,2000,Lunar
Eucrite-pmict,2008,2000,2007.5,2000,Eucrite
Lodranite,2007,2000,2007.5,2000,Lodranite
Howardite,2002,2000,2007.5,2000,Howardite
Aubrite,2007,2000,2007.5,2000,Aubrite
Brachinite,2009,2000,2007.5,2000,Brachinite
Eucrite-pmict,2003,2000,2007.5,2000,Eucrite
Diogenite,2008,2000,2007.5,2000,Diogenite
Diogenite,2008,2000,2007.5,2000,Diogenite
Howardite,2008,2000,2007.5,2000,Howardite
Howardite,2008,2000,2007.5,2000,Howardite
Lodranite,2008,2000,2007.5,2000,Lodranite
Howardite,2008,2000,2007.5,2000,Howardite
Ureilite,2007,2000,2007.5,2000,Ureilite
Diogenite,2003,2000,2007.5,2000,Diogenite
Eucrite-pmict,2005,2000,2007.5,2000,Eucrite
Ureilite,2007,2000,2007.5,2000,Ureilite
Diogenite-olivine,2004,2000,2007.5,2000,Diogenite
Diogenite,2008,2000,2007.5,2000,Diogenite
Howardite,2008,2000,2007.5,2000,Howardite
Eucrite,2008,2000,2007.5,2000,Eucrite
Eucrite-pmict,2008,2000,2007.5,2000,Eucrite
Eucrite,2008,2000,2007.5,2000,Eucrite
Eucrite-pmict,2008,2000,2007.5,2000,Eucrite
Diogenite-olivine,2008,2000,2007.5,2000,Diogenite
Eucrite,2009,2000,2007.5,2000,Eucrite
Ureilite,2003,2000,2007.5,2000,Ureilite
Martian (shergottite),2006,2000,2007.5,2000,Martian
Eucrite,2008,2000,2007.5,2000,Eucrite
Eucrite,2007,2000,2007.5,2000,Eucrite
Ureilite,2008,2000,2007.5,2000,Ureilite
Howardite,2008,2000,2007.5,2000,Howardite
Ureilite,2008,2000,2007.5,2000,Ureilite
Eucrite-br,2009,2000,2007.5,2000,Eucrite
Diogenite,2009,2000,2007.5,2000,Diogenite
Howardite,2009,2000,2007.5,2000,Howardite
Lunar,2009,2000,2007.5,2000,Lunar
Diogenite,2008,2000,2007.5,2000,Diogenite
Eucrite,2009,2000,2007.5,2000,Eucrite
Martian (nakhlite),2009,2000,2007.5,2000,Martian
Eucrite-mmict,2008,2000,2007.5,2000,Eucrite
Diogenite-pm,2007,2000,2007.5,2000,Diogenite
Diogenite,2008,2000,2007.5,2000,Diogenite
Ureilite,2009,2000,2007.5,2000,Ureilite
Ureilite,2009,2000,2007.5,2000,Ureilite
Brachinite,2001,2000,2007.5,2000,Brachinite
Howardite,2007,2000,2007.5,2000,Howardite
Howardite,2009,2000,2007.5,2000,Howardite
Martian (shergottite),2009,2000,2007.5,2000,Martian
Eucrite-mmict,2009,2000,2007.5,2000,Eucrite
Diogenite,2008,2000,2007.5,2000,Diogenite
Brachinite,2009,2000,2007.5,2000,Brachinite
Brachinite,2009,2000,2007.5,2000,Brachinite
Brachinite,2008,2000,2007.5,2000,Brachinite
Winonaite,2009,2000,2007.5,2000,Winonaite
Lodranite,2009,2000,2007.5,2000,Lodranite
Eucrite-pmict,2009,2000,2007.5,2000,Eucrite
Martian (shergottite),2009,2000,2007.5,2000,Martian
Diogenite,2003,2000,2007.5,2000,Diogenite
Eucrite,2008,2000,2007.5,2000,Eucrite
Howardite,2008,2000,2007.5,2000,Howardite
Diogenite,2008,2000,2007.5,2000,Diogenite
Lodranite,2008,2000,2007.5,2000,Lodranite
Eucrite-pmict,2008,2000,2007.5,2000,Eucrite
Eucrite-pmict,2008,2000,2007.5,2000,Eucrite
Eucrite,2008,2000,2007.5,2000,Eucrite
Diogenite,2009,2000,2007.5,2000,Diogenite
Martian (nakhlite),2009,2000,2007.5,2000,Martian
Diogenite-olivine,2009,2000,2007.5,2000,Diogenite
Eucrite-pmict,2010,2000,2007.5,2000,Eucrite
Brachinite,2010,2000,2007.5,2000,Brachinite
Diogenite-olivine,2010,2000,2007.5,2000,Diogenite
Ureilite,2010,2000,2007.5,2000,Ureilite
Martian (shergottite),2009,2000,2007.5,2000,Martian
Lodranite,2009,2000,2007.5,2000,Lodranite
Howardite,2009,2000,2007.5,2000,Howardite
Winonaite,2009,2000,2007.5,2000,Winonaite
Aubrite,2009,2000,2007.5,2000,Aubrite
Ureilite,2009,2000,2007.5,2000,Ureilite
Eucrite,2009,2000,2007.5,2000,Eucrite
Howardite,2008,2000,2007.5,2000,Howardite
Lunar (feldsp. breccia),2010,2000,2007.5,2000,Lunar
Diogenite-olivine,2010,2000,2007.5,2000,Diogenite
Martian (shergottite),2010,2000,2007.5,2000,Martian
Ureilite,2005,2000,2007.5,2000,Ureilite
Lunar (feldsp. breccia),2010,2000,2007.5,2000,Lunar
Eucrite-pmict,2009,2000,2007.5,2000,Eucrite
Eucrite-mmict,2009,2000,2007.5,2000,Eucrite
Eucrite,2010,2000,2007.5,2000,Eucrite
Eucrite-pmict,2010,2000,2007.5,2000,Eucrite
Diogenite,2010,2000,2007.5,2000,Diogenite
Eucrite-pmict,2010,2000,2007.5,2000,Eucrite
Howardite,2010,2000,2007.5,2000,Howardite
Eucrite-mmict,2010,2000,2007.5,2000,Eucrite
Ureilite,2010,2000,2007.5,2000,Ureilite
Eucrite-mmict,2010,2000,2007.5,2000,Eucrite
Howardite,2010,2000,2007.5,2000,Howardite
Lunar (feldsp. breccia),2010,2000,2007.5,2000,Lunar
Ureilite,2010,2000,2007.5,2000,Ureilite
Eucrite-mmict,2010,2000,2007.5,2000,Eucrite
Diogenite,2010,2000,2007.5,2000,Diogenite
Angrite,2010,2000,2007.5,2000,Angrite
Diogenite,2010,2000,2007.5,2000,Diogenite
Eucrite-pmict,2010,2000,2007.5,2000,Eucrite
Diogenite,2010,2000,2007.5,2000,Diogenite
Martian (shergottite),2010,2000,2007.5,2000,Martian
Eucrite-pmict,2010,2000,2007.5,2000,Eucrite
Ureilite,2010,2000,2007.5,2000,Ureilite
Eucrite-pmict,2010,2000,2007.5,2000,Eucrite
Ureilite,2010,2000,2007.5,2000,Ureilite
Eucrite,2010,2000,2007.5,2000,Eucrite
Brachinite,2010,2000,2007.5,2000,Brachinite
Aubrite,2010,2000,2007.5,2000,Aubrite
Diogenite-olivine,2010,2000,2007.5,2000,Diogenite
Ureilite,2010,2000,2007.5,2000,Ureilite
Lunar (feldsp. breccia),2010,2000,2007.5,2000,Lunar
Ureilite-pmict,2005,2000,2007.5,2000,Ureilite
Ureilite,2005,2000,2007.5,2000,Ureilite
Howardite,2010,2000,2007.5,2000,Howardite
Diogenite,2010,2000,2007.5,2000,Diogenite
Winonaite,2010,2000,2007.5,2000,Winonaite
Brachinite,2009,2000,2007.5,2000,Brachinite
Lunar (feldsp. breccia),2010,2000,2007.5,2000,Lunar
Ureilite,2010,2000,2007.5,2000,Ureilite
Brachinite,2010,2000,2007.5,2000,Brachinite
Eucrite-pmict,2010,2000,2007.5,2000,Eucrite
Eucrite-mmict,2010,2000,2007.5,2000,Eucrite
Lunar (feldsp. breccia),2010,2000,2007.5,2000,Lunar
Lodranite,2010,2000,2007.5,2000,Lodranite
Eucrite-br,2010,2000,2007.5,2000,Eucrite
Diogenite,2010,2000,2007.5,2000,Diogenite
Eucrite-pmict,2005,2000,2007.5,2000,Eucrite
Eucrite-pmict,2005,2000,2007.5,2000,Eucrite
Eucrite-mmict,2009,2000,2007.5,2000,Eucrite
Ureilite,2010,2000,2007.5,2000,Ureilite
Lunar (feldsp. breccia),2010,2000,2007.5,2000,Lunar
Lunar (feldsp. breccia),2010,2000,2007.5,2000,Lunar
Howardite,2010,2000,2007.5,2000,Howardite
Acapulcoite,2010,2000,2007.5,2000,Acapulcoite
Howardite,2010,2000,2007.5,2000,Howardite
Eucrite-pmict,2010,2000,2007.5,2000,Eucrite
Eucrite-pmict,2010,2000,2007.5,2000,Eucrite
Lunar (feldsp. breccia),2010,2000,2007.5,2000,Lunar
Eucrite-mmict,2010,2000,2007.5,2000,Eucrite
Diogenite,2010,2000,2007.5,2000,Diogenite
Lunar (feldsp. breccia),2010,2000,2007.5,2000,Lunar
Eucrite,2002,2000,2007.5,2000,Eucrite
Lodranite,2007,2000,2007.5,2000,Lodranite
Eucrite,2010,2000,2007.5,2000,Eucrite
Ureilite,2010,2000,2007.5,2000,Ureilite
Eucrite,2011,2000,2007.5,2000,Eucrite
Howardite,2010,2000,2007.5,2000,Howardite
Eucrite-mmict,2011,2000,2007.5,2000,Eucrite
Howardite,2011,2000,2007.5,2000,Howardite
Eucrite-pmict,2010,2000,2007.5,2000,Eucrite
Aubrite,2010,2000,2007.5,2000,Aubrite
Lodranite,2010,2000,2007.5,2000,Lodranite
Howardite,2010,2000,2007.5,2000,Howardite
Lunar (feldsp. breccia),2010,2000,2007.5,2000,Lunar
Diogenite,2010,2000,2007.5,2000,Diogenite
Eucrite-pmict,2011,2000,2007.5,2000,Eucrite
Howardite,2011,2000,2007.5,2000,Howardite
Eucrite,2011,2000,2007.5,2000,Eucrite
Howardite-an,2011,2000,2007.5,2000,Howardite
Martian (shergottite),2011,2000,2007.5,2000,Martian
Eucrite,2009,2000,2007.5,2000,Eucrite
Eucrite,2009,2000,2007.5,2000,Eucrite
Lunar (feldsp. breccia),2011,2000,2007.5,2000,Lunar
Howardite,2011,2000,2007.5,2000,Howardite
Eucrite,2010,2000,2007.5,2000,Eucrite
Eucrite-cm,2007,2000,2007.5,2000,Eucrite
Howardite,2011,2000,2007.5,2000,Howardite
Ureilite,2010,2000,2007.5,2000,Ureilite
Diogenite-olivine,2009,2000,2007.5,2000,Diogenite
Ureilite,2010,2000,2007.5,2000,Ureilite
Ureilite,2011,2000,2007.5,2000,Ureilite
Brachinite,2011,2000,2007.5,2000,Brachinite
Lodranite,2011,2000,2007.5,2000,Lodranite
Eucrite,2011,2000,2007.5,2000,Eucrite
Lunar,2011,2000,2007.5,2000,Lunar
Eucrite,2009,2000,2007.5,2000,Eucrite
Diogenite,2011,2000,2007.5,2000,Diogenite
Eucrite-pmict,2011,2000,2007.5,2000,Eucrite
Eucrite-pmict,2011,2000,2007.5,2000,Eucrite
Eucrite-pmict,2011,2000,2007.5,2000,Eucrite
Ureilite,2011,2000,2007.5,2000,Ureilite
Eucrite,2011,2000,2007.5,2000,Eucrite
Eucrite,2011,2000,2007.5,2000,Eucrite
Eucrite,2010,2000,2007.5,2000,Eucrite
Eucrite,2011,2000,2007.5,2000,Eucrite
Howardite,2011,2000,2007.5,2000,Howardite
Eucrite-pmict,2011,2000,2007.5,2000,Eucrite
Diogenite,2011,2000,2007.5,2000,Diogenite
Diogenite-an,2011,2000,2007.5,2000,Diogenite
Winonaite,2011,2000,2007.5,2000,Winonaite
Lunar (gabbro),2011,2000,2007.5,2000,Lunar
Martian (shergottite),2011,2000,2007.5,2000,Martian
Lunar (gabbro),2011,2000,2007.5,2000,Lunar
Brachinite,2011,2000,2007.5,2000,Brachinite
Eucrite-pmict,2011,2000,2007.5,2000,Eucrite
Eucrite-mmict,2011,2000,2007.5,2000,Eucrite
Eucrite-mmict,2011,2000,2007.5,2000,Eucrite
Lunar (feldsp. breccia),2011,2000,2007.5,2000,Lunar
Eucrite-pmict,2003,2000,2007.5,2000,Eucrite
Martian (shergottite),2011,2000,2007.5,2000,Martian
Martian (basaltic breccia),2011,2000,2007.5,2000,Martian
Eucrite-mmict,2012,2000,2007.5,2000,Eucrite
Eucrite-pmict,2011,2000,2007.5,2000,Eucrite
Martian (shergottite),2011,2000,2007.5,2000,Martian
Ureilite,2008,2000,2007.5,2000,Ureilite
Eucrite-mmict,2011,2000,2007.5,2000,Eucrite
Eucrite-pmict,2011,2000,2007.5,2000,Eucrite
Eucrite-pmict,2011,2000,2007.5,2000,Eucrite
Ureilite,2011,2000,2007.5,2000,Ureilite
Eucrite-pmict,2010,2000,2007.5,2000,Eucrite
Martian (shergottite),2011,2000,2007.5,2000,Martian
Lunar (feldsp. breccia),2011,2000,2007.5,2000,Lunar
Ureilite,2011,2000,2007.5,2000,Ureilite
Angrite,2011,2000,2007.5,2000,Angrite
Eucrite-pmict,2011,2000,2007.5,2000,Eucrite
Aubrite,2010,2000,2007.5,2000,Aubrite
Ureilite,2010,2000,2007.5,2000,Ureilite
Ureilite,2010,2000,2007.5,2000,Ureilite
Eucrite-pmict,2011,2000,2007.5,2000,Eucrite
Eucrite-pmict,2011,2000,2007.5,2000,Eucrite
Eucrite,2012,2000,2007.5,2000,Eucrite
Martian (shergottite),2012,2000,2007.5,2000,Martian
Martian (shergottite),2011,2000,2007.5,2000,Martian
Eucrite-pmict,2011,2000,2007.5,2000,Eucrite
Lunar (feldsp. breccia),2012,2000,2007.5,2000,Lunar
Ureilite,2012,2000,2007.5,2000,Ureilite
Eucrite-mmict,2012,2000,2007.5,2000,Eucrite
Martian (shergottite),2012,2000,2007.5,2000,Martian
Lunar (feldsp. breccia),2012,2000,2007.5,2000,Lunar
Ureilite,2012,2000,2007.5,2000,Ureilite
Howardite,2011,2000,2007.5,2000,Howardite
Diogenite,2011,2000,2007.5,2000,Diogenite
Eucrite,2012,2000,2007.5,2000,Eucrite
Diogenite,2012,2000,2007.5,2000,Diogenite
Eucrite,2011,2000,2007.5,2000,Eucrite
Brachinite,2011,2000,2007.5,2000,Brachinite
Ureilite,2009,2000,2007.5,2000,Ureilite
Lodranite,2012,2000,2007.5,2000,Lodranite
Eucrite,2012,2000,2007.5,2000,Eucrite
Martian (shergottite),2011,2000,2007.5,2000,Martian
Acapulcoite,2012,2000,2007.5,2000,Acapulcoite
Eucrite-mmict,2004,2000,2007.5,2000,Eucrite
Howardite,2012,2000,2007.5,2000,Howardite
Eucrite-cm,2012,2000,2007.5,2000,Eucrite
Howardite,2012,2000,2007.5,2000,Howardite
Ureilite,2011,2000,2007.5,2000,Ureilite
Eucrite,2012,2000,2007.5,2000,Eucrite
Ureilite,2012,2000,2007.5,2000,Ureilite
Eucrite-cm,2012,2000,2007.5,2000,Eucrite
Diogenite-olivine,2009,2000,2007.5,2000,Diogenite
Eucrite,2012,2000,2007.5,2000,Eucrite
Acapulcoite,2010,2000,2007.5,2000,Acapulcoite
Eucrite,2012,2000,2007.5,2000,Eucrite
Martian (shergottite),2012,2000,2007.5,2000,Martian
Brachinite,2007,2000,2007.5,2000,Brachinite
Martian (shergottite),2012,2000,2007.5,2000,Martian
Martian (basaltic breccia),2012,2000,2007.5,2000,Martian
Howardite,2012,2000,2007.5,2000,Howardite
Eucrite-mmict,2012,2000,2007.5,2000,Eucrite
Eucrite,2012,2000,2007.5,2000,Eucrite
Diogenite,2012,2000,2007.5,2000,Diogenite
Lunar (feldsp. breccia),2012,2000,2007.5,2000,Lunar
Eucrite-pmict,2012,2000,2007.5,2000,Eucrite
Brachinite,2012,2000,2007.5,2000,Brachinite
Martian (shergottite),2012,2000,2007.5,2000,Martian
Howardite,2012,2000,2007.5,2000,Howardite
Eucrite,2012,2000,2007.5,2000,Eucrite
Eucrite,2012,2000,2007.5,2000,Eucrite
Ureilite,2007,2000,2007.5,2000,Ureilite
Howardite,2012,2000,2007.5,2000,Howardite
Eucrite-mmict,2012,2000,2007.5,2000,Eucrite
Eucrite-mmict,2012,2000,2007.5,2000,Eucrite
Eucrite-mmict,2012,2000,2007.5,2000,Eucrite
Eucrite-mmict,2012,2000,2007.5,2000,Eucrite
Eucrite,2012,2000,2007.5,2000,Eucrite
Howardite,2011,2000,2007.5,2000,Howardite
Eucrite,2012,2000,2007.5,2000,Eucrite
Eucrite-pmict,2012,2000,2007.5,2000,Eucrite
Eucrite-pmict,2012,2000,2007.5,2000,Eucrite
Howardite,2011,2000,2007.5,2000,Howardite
Brachinite,2012,2000,2007.5,2000,Brachinite
Diogenite,2012,2000,2007.5,2000,Diogenite
Eucrite,2012,2000,2007.5,2000,Eucrite
Lunar,2012,2000,2007.5,2000,Lunar
Martian (shergottite),2012,2000,2007.5,2000,Martian
Eucrite-cm,2012,2000,2007.5,2000,Eucrite
Ureilite,2000,2000,2007.5,2000,Ureilite
Eucrite,2012,2000,2007.5,2000,Eucrite
Ureilite,2012,2000,2007.5,2000,Ureilite
Eucrite,2000,2000,2007.5,2000,Eucrite
Ureilite,2012,2000,2007.5,2000,Ureilite
Eucrite-pmict,2011,2000,2007.5,2000,Eucrite
Eucrite-pmict,2012,2000,2007.5,2000,Eucrite
Eucrite-pmict,2012,2000,2007.5,2000,Eucrite
Ureilite,2000,2000,2007.5,2000,Ureilite
Howardite,2012,2000,2007.5,2000,Howardite
Martian (shergottite),2012,2000,2007.5,2000,Martian
Lunar (norite),2000,2000,2007.5,2000,Lunar
Eucrite-pmict,2012,2000,2007.5,2000,Eucrite
Ureilite,2012,2000,2007.5,2000,Ureilite
Ureilite,2012,2000,2007.5,2000,Ureilite
Martian (shergottite),2013,2000,2007.5,2000,Martian
Eucrite,2010,2000,2007.5,2000,Eucrite
Howardite,2000,2000,2007.5,2000,Howardite
Eucrite,2012,2000,2007.5,2000,Eucrite
Eucrite,2012,2000,2007.5,2000,Eucrite
Angrite,2013,2000,2007.5,2000,Angrite
Diogenite,2012,2000,2007.5,2000,Diogenite
